date,package,last_day,last_week,last_month
2026-06-21T06:15:22Z,xgboost,1252760,10832214,43160873
2026-06-22T11:57:54Z,xgboost,1294598,10898588,42968231
2026-06-22T12:37:59Z,xgboost,1294598,10898588,42968231
2026-06-26T11:18:17Z,xgboost,1722684,11166263,44806411
2026-06-29T11:34:57Z,xgboost,1243594,11124591,44199370
2026-07-02T13:26:27Z,xgboost,1729610,10904875,45202397
2026-07-03T06:59:36Z,xgboost,1675515,10857706,45254025
2026-07-07T15:42:39Z,xgboost,1624291,10636490,44708983
2026-07-13T09:57:44Z,xgboost,1171357,10746048,45883316
2026-07-20T09:44:47Z,xgboost,1226564,11702574,46739566
2026-07-22T08:39:14Z,xgboost,1738066,11609829,47536191
2026-07-24T09:33:32Z,xgboost,2329147,11897679,48046369
2026-08-02T16:15:09Z,xgboost,1271356,10992081,47642605
2026-08-03T10:26:51Z,xgboost,1232719,11012077,47346635
2026-08-07T06:26:12Z,xgboost,1478415,10583498,48062420
2026-08-10T21:28:38Z,xgboost,1265412,10505478,47121943
2026-08-14T21:42:30Z,xgboost,1958774,11007862,48246195
2026-08-22T06:30:44Z,xgboost,1648621,11937100,51068370
2026-08-22T08:57:57Z,xgboost,1648621,11937100,51068370
2026-08-25T06:46:15Z,xgboost,1525405,10815553,49953433
