date,package,last_day,last_week,last_month
2026-06-21T06:15:22Z,lightgbm,597988,4850976,18325607
2026-06-22T12:37:59Z,lightgbm,563105,4922184,18261312
2026-06-26T11:18:17Z,lightgbm,766695,5164791,19509467
2026-06-29T11:34:57Z,lightgbm,551456,5111147,19370674
2026-07-02T13:26:27Z,lightgbm,853652,5098490,20262671
2026-07-07T15:42:39Z,lightgbm,813553,5318472,20484172
2026-07-13T09:57:45Z,lightgbm,599534,5532769,21863513
2026-07-16T05:44:16Z,lightgbm,859141,5848313,22994184
2026-07-20T09:44:47Z,lightgbm,595772,5848258,22944406
2026-07-21T17:09:05Z,lightgbm,866743,5822937,23213161
2026-07-22T08:39:14Z,lightgbm,972889,5657717,23622945
2026-07-24T09:33:32Z,lightgbm,966516,5771978,23836067
2026-08-02T16:15:09Z,lightgbm,719651,6139099,24826033
2026-08-07T06:26:12Z,lightgbm,890083,5952457,25487649
